# Step 2 current-reference sweep after 93d3497; case-insensitive; all tracked text sources inspected.
# Requested ten reference/label terms plus experiment-scene, RoboSyn-demo and experimental-overlay wording.
# Counts are non-overlapping occurrences; line:count covers every retained occurrence. Historical registry commands are not current launch instructions.
# Asset-lab fixtures and conditional experimental result labels are explicitly scoped. Retained USD prim paths were not renamed.
# HISTORICAL=135; ASSET_LAB_EXPERIMENT=6; INTERNAL_IDENTIFIER=0; NEGATIVE_TEST=2; BUG=0
path	classification	line:occurrences
configs/environments/isaac_release_3_0_0.yaml	HISTORICAL	34:1,41:1
configs/experiments/robosyn_asset_lab.yaml	ASSET_LAB_EXPERIMENT	2:1,6:1
configs/resolved_contract.yaml	HISTORICAL	3012:2,3025:1,3048:1,3165:1,3187:1,3309:1,3505:2,3518:1
docs/project/GATE_S0_TELEOP_DEPENDENCY_AMENDMENT.md	HISTORICAL	20:1,21:1
docs/project/GATE_S2_PHYSICAL_RUN_1_FAILED.md	HISTORICAL	21:1,47:1
docs/project/GATE_S2_RUNTIME_EVIDENCE.txt	HISTORICAL	22:1,41:1
docs/project/ISAAC_CAMERA_PERFORMANCE_20260915.md	HISTORICAL	9:1,193:1
docs/project/ISAAC_XR_FAILURES_AND_SOLUTIONS_20260915.md	HISTORICAL	10:1,282:1
docs/project/ISAAC_XR_FIXES_20260915.md	HISTORICAL	70:1
docs/project/ISAAC_XR_PHYSICAL_FOLLOWUP_20260916.md	HISTORICAL	39:1,55:1
docs/project/ROBOSYN_VR_DEMO_REPORT.md	ASSET_LAB_EXPERIMENT	11:1
docs/project/ROBOSYN_VR_DEMO_REPORT.md	HISTORICAL	59:1,60:1,76:1,79:1,140:1,167:1,290:1,298:1,366:1
docs/project/ROBOSYN_VR_DEMO_UPSTREAM_AUDIT.md	HISTORICAL	44:1,50:1,73:1
docs/project/RUN_VR_DOCUMENTATION_AUDIT.md	HISTORICAL	35:1,44:2,45:1,177:1,181:1,194:1,200:1,201:1,226:1,252:2,253:1
docs/project/integrations/20260918_kit1103_preview/REPORT.md	HISTORICAL	79:1,93:1
docs/project/integrations/20260918_kit1103_preview/evidence.json	HISTORICAL	3:1,365:1,495:1,751:1,881:1,1156:1,1206:1,1348:1,1354:1,1357:2
docs/project/migrations/20260918_isaac1103/MIGRATION_DIFF.md	HISTORICAL	33:1,81:1,83:1
docs/project/migrations/20260918_isaac1103/REPORT.md	HISTORICAL	203:1
docs/project/migrations/20260918_isaac1103/legacy_runtime_snapshot.json	HISTORICAL	32:1,57:1
docs/project/migrations/20260918_isaac1103/postcutover.json	HISTORICAL	62:1
docs/project/migrations/20260918_isaac1103/source_manifest.json	HISTORICAL	15:1
docs/project/performance/20260915/piper_camera_xr_current.log	HISTORICAL	386:1
docs/project/performance/20260915/piper_camera_xr_current_result.json	HISTORICAL	164:1
docs/project/performance/20260915/piper_camera_xr_raw_cpu_upload.log	HISTORICAL	386:1
docs/project/performance/20260915/piper_camera_xr_raw_cpu_upload_render_once.log	HISTORICAL	387:1
docs/project/performance/20260915/piper_camera_xr_raw_cpu_upload_render_once_result.json	HISTORICAL	164:1
docs/project/performance/20260915/piper_camera_xr_raw_cpu_upload_result.json	HISTORICAL	164:1
